flow
1153
939
1271
1296
1347
1288
1350
1362
1309
1351
1171
1626
1275
1451
1542
1746
1863
1762
1789
1797
1753
1897
1882
2092
1900
1480
1921
2109
2250
2124
2154
2054
2171
2228
2167
2005
1884
1699
2207
2146
2216
2168
2297
2274
2128
2057
1984
2246
2261
1844
2044
2355
2400
2441
2401
2366
2252
2232
2311
2166
2146
1843
2308
2270
2510
2474
2283
2140
2028
2028
1765
1870
1546
1509
1802
1888
1974
1818
1882
1877
1923
1819
1674
1807
1823
1356
1946
2026
2273
2057
2044
1978
1882
1909
1971
1798
1935
1411
2164
2096
2100
1969
1989
1909
1882
1963
1732
1779
1506
1656
1912
1792
1873
1680
1755
1725
1918
1798
1677
1617
1554
1157
1804
1663
1815
1631
1681
1769
1707
1709
1871
1835
1573
1171
1741
1771
1795
1754
1752
1772
1807
1819
1769
1716
